rank,region_name,total_score,time_row_id,origin_id,origin_label,coord_sido_code,value_row_id,CITY_CD,CITY_NM,value_sido_code,total_car_minus_uam_moving_time_min,Company,MICE,Korea_Tourist,Shopping_Mall,total_car_minus_uam_moving_time_min_score_0_100,Company_score_0_100,MICE_score_0_100,Korea_Tourist_score_0_100,Shopping_Mall_score_0_100,total_car_minus_uam_moving_time_min_weighted_score,Company_weighted_score,MICE_weighted_score,Korea_Tourist_weighted_score,Shopping_Mall_weighted_score,time_present,value_present
19,이천시,16.36258506601828,5,49,49_이천시,31,56.0,31210.0,이천시,31,2742.95000419895,1.0,0.0,0.0,1.0,33.48888024746328,7.6923076923076925,0.0,0.0,14.285714285714285,13.395552098985313,1.5384615384615385,0.0,0.0,1.4285714285714286,True,True
20,평택시,16.115201960852293,6,24,24_평택시,31,42.0,31070.0,평택시,31,2717.313404198951,1.0,0.0,0.0,1.0,32.870422484548314,7.6923076923076925,0.0,0.0,14.285714285714285,13.148168993819326,1.5384615384615385,0.0,0.0,1.4285714285714286,True,True
21,중구,15.158458058022454,15,38,38_중구_1,23,26.0,23010.0,중구,23,2248.053604198951,1.0,0.0,1.0,0.0,21.54999129890229,7.6923076923076925,0.0,33.33333333333333,0.0,8.619996519560917,1.5384615384615385,0.0,4.999999999999999,0.0,True,True
22,송파구,13.860644512407376,39,29,29_송파구,11,24.0,11240.0,송파구,11,1658.038056071974,2.0,0.0,1.0,2.0,7.3164464458536065,15.384615384615385,0.0,33.33333333333333,28.57142857142857,2.926578578341443,3.076923076923077,0.0,4.999999999999999,2.857142857142857,True,True
23,양평군,13.779790573525759,13,53,53_양평군,31,66.0,31580.0,양평군,31,2264.613248565636,0.0,0.0,1.0,0.0,21.9494764338144,0.0,0.0,33.33333333333333,0.0,8.77979057352576,0.0,0.0,4.999999999999999,0.0,True,True
24,양평군,13.775930730876333,14,55,55_양평군,31,66.0,31580.0,양평군,31,2264.213248565636,0.0,0.0,1.0,0.0,21.93982682719083,0.0,0.0,33.33333333333333,0.0,8.775930730876333,0.0,0.0,4.999999999999999,0.0,True,True
25,서초구,13.736263736263737,54,33,33_서초구,11,22.0,11220.0,서초구,11,1354.753301314106,8.0,0.0,0.0,1.0,0.0,61.53846153846154,0.0,0.0,14.285714285714285,0.0,12.307692307692308,0.0,0.0,1.4285714285714286,True,True
26,광명시,12.932122934392192,20,25,25_광명시,31,41.0,31060.0,광명시,31,2028.723936545036,0.0,0.0,1.0,1.0,16.25887876455191,0.0,0.0,33.33333333333333,14.285714285714285,6.503551505820764,0.0,0.0,4.999999999999999,1.4285714285714286,True,True
27,광명시,12.877120176637801,21,08,08_광명시,31,41.0,31060.0,광명시,31,2023.023936545036,0.0,0.0,1.0,1.0,16.121371870165934,0.0,0.0,33.33333333333333,14.285714285714285,6.448548748066374,0.0,0.0,4.999999999999999,1.4285714285714286,True,True
28,광주시,12.11851167250169,8,56,56_광주시,31,60.0,31250.0,광주시,31,2451.176248565636,1.0,0.0,0.0,0.0,26.450125335100378,7.6923076923076925,0.0,0.0,0.0,10.580050134040151,1.5384615384615385,0.0,0.0,0.0,True,True
29,광주시,12.091492773955688,9,54,54_광주시,31,60.0,31250.0,광주시,31,2448.376248565637,1.0,0.0,0.0,0.0,26.38257808873537,7.6923076923076925,0.0,0.0,0.0,10.55303123549415,1.5384615384615385,0.0,0.0,0.0,True,True
30,안성시,11.960305554126263,10,26,26_안성시,31,57.0,31220.0,안성시,31,2446.16920419895,0.0,0.0,0.0,1.0,26.329335313887086,0.0,0.0,0.0,14.285714285714285,10.531734125554834,0.0,0.0,0.0,1.4285714285714286,True,True
31,서구,10.827934256116944,12,45,45_서구,23,32.0,23080.0,서구,23,2317.43220419895,1.0,0.0,0.0,0.0,23.223681794138514,7.6923076923076925,0.0,0.0,0.0,9.289472717655405,1.5384615384615385,0.0,0.0,0.0,True,True
32,마포구,10.820490245631682,50,05,05_마포구,11,14.0,11140.0,마포구,11,1479.639804697842,3.0,0.0,1.0,0.0,3.0127640756176683,23.076923076923077,0.0,33.33333333333333,0.0,1.2051056302470675,4.615384615384616,0.0,4.999999999999999,0.0,True,True
33,부천시,8.895625776633521,27,39,39_부천시,31,40.0,31050.0,부천시,31,1821.095770657279,1.0,0.0,0.0,2.0,11.250053452572812,7.6923076923076925,0.0,0.0,28.57142857142857,4.500021381029125,1.5384615384615385,0.0,0.0,2.857142857142857,True,True
34,과천시,8.358816432607147,48,22,22_과천시,31,46.0,31110.0,과천시,31,1543.398804198951,1.0,0.0,1.0,0.0,4.550887235364024,7.6923076923076925,0.0,33.33333333333333,0.0,1.8203548941456096,1.5384615384615385,0.0,4.999999999999999,0.0,True,True
35,안산시,8.22818895780779,18,03,03_안산시,31,44.0,31090.0,안산시,31,2059.40560419895,0.0,0.0,0.0,1.0,16.999043823090904,0.0,0.0,0.0,14.285714285714285,6.799617529236362,0.0,0.0,0.0,1.4285714285714286,True,True
36,미추홀구,8.189474736033997,19,47,47_미추홀구,23,33.0,23090.0,미추홀구,23,2055.39360419895,0.0,0.0,0.0,1.0,16.90225826865642,0.0,0.0,0.0,14.285714285714285,6.760903307462569,0.0,0.0,0.0,1.4285714285714286,True,True
37,의정부시,7.8402689817760205,22,14,14_의정부시,31,38.0,31030.0,의정부시,31,2019.20500419895,0.0,0.0,0.0,1.0,16.02924388301148,0.0,0.0,0.0,14.285714285714285,6.411697553204592,0.0,0.0,0.0,1.4285714285714286,True,True
38,안양시,7.636283348413782,36,12,12_안양시,31,39.0,31040.0,안양시,31,1679.20060419895,2.0,0.0,0.0,1.0,7.8269721072981895,15.384615384615385,0.0,0.0,14.285714285714285,3.130788842919276,3.076923076923077,0.0,0.0,1.4285714285714286,True,True
39,기흥구,7.194336618095109,17,19,19_기흥구,31,,,,,2100.310804198951,0.0,0.0,0.0,0.0,17.985841545237772,0.0,0.0,0.0,0.0,7.194336618095109,0.0,0.0,0.0,0.0,True,False
40,하남시,7.018648641795535,30,51,51_하남시,31,53.0,31180.0,하남시,31,1786.01500419895,0.0,0.0,0.0,2.0,10.403764461631692,0.0,0.0,0.0,28.57142857142857,4.161505784652677,0.0,0.0,0.0,2.857142857142857,True,True
41,구리시,6.4597407338878226,32,31,31_구리시,31,47.0,31120.0,구리시,31,1728.094725195853,0.0,0.0,0.0,2.0,9.006494691862413,0.0,0.0,0.0,28.57142857142857,3.6025978767449653,0.0,0.0,0.0,2.857142857142857,True,True
42,노원구,6.187733387514524,26,18,18_노원구,11,11.0,11110.0,노원구,11,1847.950811284615,0.0,0.0,0.0,1.0,11.897904897357737,0.0,0.0,0.0,14.285714285714285,4.759161958943095,0.0,0.0,0.0,1.4285714285714286,True,True
43,구로구,6.1695582434840475,37,21,21_구로구,11,17.0,11170.0,구로구,11,1675.246694174775,2.0,0.0,0.0,0.0,7.731587916402424,15.384615384615385,0.0,0.0,0.0,3.09263516656097,3.076923076923077,0.0,0.0,0.0,True,True
44,서대문구,5.972128412542855,38,06,06_서대문구,11,13.0,11130.0,서대문구,11,1666.174850682503,1.0,0.0,0.0,1.0,7.512738613774717,7.6923076923076925,0.0,0.0,14.285714285714285,3.005095445509887,1.5384615384615385,0.0,0.0,1.4285714285714286,True,True
45,동대문구,5.8392991939221774,28,32,32_동대문구,11,6.0,11060.0,동대문구,11,1811.842169017166,0.0,0.0,0.0,1.0,11.02681941337687,0.0,0.0,0.0,14.285714285714285,4.410727765350749,0.0,0.0,0.0,1.4285714285714286,True,True
46,시흥시,5.8217083005377726,29,11,11_시흥시,31,50.0,31150.0,시흥시,31,1810.01920419895,0.0,0.0,0.0,1.0,10.98284217991586,0.0,0.0,0.0,14.285714285714285,4.393136871966344,0.0,0.0,0.0,1.4285714285714286,True,True
47,성동구,5.78582740617816,51,34,34_성동구,11,4.0,11040.0,성동구,11,1436.189512844029,0.0,0.0,1.0,0.0,1.964568515445401,0.0,0.0,33.33333333333333,0.0,0.7858274061781604,0.0,0.0,4.999999999999999,0.0,True,True
48,광진구,5.438263340574204,42,35,35_광진구,11,5.0,11050.0,광진구,11,1610.849790004459,1.0,0.0,0.0,1.0,6.178075933853091,7.6923076923076925,0.0,0.0,14.285714285714285,2.4712303735412364,1.5384615384615385,0.0,0.0,1.4285714285714286,True,True
49,강북구,5.257980191535178,31,20,20_강북구,11,9.0,11090.0,강북구,11,1751.599402128964,0.0,0.0,0.0,1.0,9.573521907409372,0.0,0.0,0.0,14.285714285714285,3.829408762963749,0.0,0.0,0.0,1.4285714285714286,True,True
50,금천구,5.205132248681457,45,07,07_금천구,11,18.0,11180.0,금천구,11,1598.078183159728,0.0,0.0,0.0,2.0,5.869973478846498,0.0,0.0,0.0,28.57142857142857,2.3479893915385994,0.0,0.0,0.0,2.857142857142857,True,True
51,관악구,4.734533624962391,33,23,23_관악구,11,21.0,11210.0,관악구,11,1697.354023328356,0.0,0.0,0.0,1.0,8.264905490977405,0.0,0.0,0.0,14.285714285714285,3.3059621963909622,0.0,0.0,0.0,1.4285714285714286,True,True
52,성북구,4.68857083372021,34,15,15_성북구,11,8.0,11080.0,성북구,11,1692.59084561188,0.0,0.0,0.0,1.0,8.149998512871951,0.0,0.0,0.0,14.285714285714285,3.259999405148781,0.0,0.0,0.0,1.4285714285714286,True,True
53,김포시,4.626671396151404,35,46,46_김포시,31,58.0,31230.0,김포시,31,1686.176134631065,0.0,0.0,0.0,1.0,7.995249918949939,0.0,0.0,0.0,14.285714285714285,3.1980999675799757,0.0,0.0,0.0,1.4285714285714286,True,True
54,남양주시,4.141807521090439,41,48,48_남양주시,31,48.0,31130.0,남양주시,31,1635.929125195852,0.0,0.0,0.0,1.0,6.783090231297526,0.0,0.0,0.0,14.285714285714285,2.7132360925190104,0.0,0.0,0.0,1.4285714285714286,True,True
55,강동구,3.7175082039377365,46,52,52_강동구,11,25.0,11250.0,강동구,11,1591.958491603804,0.0,0.0,0.0,1.0,5.722341938415769,0.0,0.0,0.0,14.285714285714285,2.2889367753663077,0.0,0.0,0.0,1.4285714285714286,True,True
56,양천구,2.1507451323486944,52,10,10_양천구,11,15.0,11150.0,양천구,11,1429.593005350618,0.0,0.0,0.0,1.0,1.8054342594431636,0.0,0.0,0.0,14.285714285714285,0.7221737037772655,0.0,0.0,0.0,1.4285714285714286,True,True
