clique_id,node_count,type_count,total_weight,radius_m,center_x_5186,center_y_5186,members,types,rank
7,7,4,7.0,3097.9661746917927,204380.56004796113,520297.6881906684,"삼성, 롯데 광교점, 수원화성, 갤러리아 광교점, 갤러리아 광교, CJ, 수원컨벤션센터","Company, Shopping_Mall, Korea_Tourist, Shopping_Mall, Shopping_Mall, Company, MICE",34
14,7,3,7.0,2964.4744630806126,208700.9485122219,547104.5093590977,"롯데, 롯데, 롯데 잠실점, 서울스카이 & 롯데월드 & 석촌호수, 롯데 건대스타시티점, 쿠팡, 현대 천호점","Company, Company, Shopping_Mall, Korea_Tourist, Shopping_Mall, Company, Shopping_Mall",35
29,7,3,7.0,2754.329318235563,201316.45356362144,550061.5727162622,"CJ, N서울타워, 두산, 현대 동대문점, 현대 본점, 성수동 거리 & 서울숲, 현대백화점","Company, Korea_Tourist, Company, Shopping_Mall, Shopping_Mall, Korea_Tourist, Company",36
49,7,3,7.0,3455.8135246289444,201294.18751624523,546104.9068983702,"영풍, 국립중앙박물관, 교보생명보험, 현대 본점, KCC, 신세계 강남점, 현대백화점","Company, Korea_Tourist, Company, Shopping_Mall, Company, Shopping_Mall, Company",37
12,7,2,7.0,2025.5085592087178,184401.8144605527,551544.7704806287,"엘지, 코오롱, 롯데 김포공항점, 한진, DL, DL, 롯데","Company, Company, Shopping_Mall, Company, Company, Company, Company",38
36,6,4,6.0,1305.072828681139,168536.20552181764,531163.2340327373,"셀트리온, 송도 센트럴파크, 셀트리온, 셀트리온, 송도컨벤시아, 현대 송도점","Company, Korea_Tourist, Company, Company, MICE, Shopping_Mall",39
16,5,3,5.0,3507.111200330896,209383.07134684973,545110.2772605501,"롯데, 롯데, 롯데 잠실점, 서울스카이 & 롯데월드 & 석촌호수, 현대 가든파이브점","Company, Company, Shopping_Mall, Korea_Tourist, Shopping_Mall",40
26,5,3,5.0,2862.1326236425507,200420.40795130547,548821.925613058,"CJ, N서울타워, 국립중앙박물관, 현대 본점, 현대백화점","Company, Korea_Tourist, Korea_Tourist, Shopping_Mall, Company",41
31,5,3,5.0,3003.962440752351,201939.97285831938,551724.1414457961,"CJ, 롯데 청량리점, 성수동 거리 & 서울숲, 현대 동대문점, 두산","Company, Shopping_Mall, Korea_Tourist, Shopping_Mall, Company",42
32,5,3,5.0,3205.8655119527984,200834.3078176805,519773.7743172574,"CJ, 수원화성, AK 수원점, 롯데 수원점, 스타필드 수원","Company, Korea_Tourist, Shopping_Mall, Shopping_Mall, Shopping_Mall",43
66,5,3,5.0,3203.0969754009943,197835.65670531458,547080.5113327658,"신세계 강남점, HDC, 국립중앙박물관, HDC, LS","Shopping_Mall, Company, Korea_Tourist, Company, Company",44
10,5,2,5.0,2653.080124252238,202364.989447637,539854.3423305285,"현대, 서울대공원·서울랜드 & 국립현대미술관 과천 & 국립과천과학관, KT, 호반, 호반","Company, Korea_Tourist, Company, Company, Company",45
34,4,2,4.0,3005.3681723196323,202064.31939580996,553566.6773526195,"두산, 현대 미아점, 현대 동대문점, 롯데 청량리점","Company, Shopping_Mall, Shopping_Mall, Shopping_Mall",46
35,4,2,4.0,2969.5598640337157,209390.12368836545,528049.938637212,"두산, 신세계 사우스시티, 네이버, 네이버","Company, Shopping_Mall, Company, Company",47
50,4,2,4.0,2961.3663684166363,201143.55069069203,538442.3608004539,"호반, 코오롱, 서울대공원·서울랜드 & 국립현대미술관 과천 & 국립과천과학관, 호반","Company, Company, Korea_Tourist, Company",48
54,4,2,4.0,2890.616287386561,179246.87043514027,562303.9864729848,"킨텍스, KINTEX, 현대 킨텍스점, 롯데 고양터미널점, 롯데 일산점","MICE, Shopping_Mall, Shopping_Mall, Shopping_Mall",49
17,3,2,3.0,2789.351621070999,182774.34023908444,553274.5173027046,"롯데, 롯데 김포공항점, 현대 김포점","Company, Shopping_Mall, Shopping_Mall",50
25,3,2,3.0,1052.9264927451259,195394.59077662672,531394.5705701853,"LS, 효성, 롯데 평촌점","Company, Company, Shopping_Mall",51
52,3,2,3.0,871.8312266417294,179803.96350742827,545238.0910449493,"DB, 현대 중동점, 롯데 중동점","Company, Shopping_Mall, Shopping_Mall",52
73,3,1,3.0,2537.1564122658474,203166.37433333334,555735.9750000001,"롯데 청량리점, 현대 미아점, 롯데 미아점","Shopping_Mall, Shopping_Mall, Shopping_Mall",53
75,3,1,3.0,896.6264500122871,212854.48766666665,556753.9543333333,"롯데 구리점, 현대 남양주점, 롯데 구리점","Shopping_Mall, Shopping_Mall, Shopping_Mall",54
